AREA,BFIHOST,LDP,PROPWET,RMED-1D,SAAR,Index flood
235.21,0.839,34.4,0.32,34.3,736,3.545
31.53,0.319,15.6,0.6,43.1,1361,28.011
137.99,0.309,31.43,0.24,29,585,14.7145
80.4,0.713,17.78,0.28,34.8,692,3.2480001
88,0.316,22.57,0.6,48.6,1473,83.0485
85.7,0.651,32,0.46,36.3,1098,12.51
36.8,0.445,15.9,0.47,48.9,1636,16.7915
1267.1,0.374,122.65,0.4,36.2,966,391.952
80.2,0.478,26.35,0.48,49.8,1509,59.565
142.76,0.446,27.28,0.66,47.2,1627,132.887
74.26,0.537,14.29,0.38,41.8,886,30.622501
237.23,0.497,43.72,0.64,45.1,1422,106.947
707.72,0.694,50.58,0.29,28.2,607,16.643501
95.53,0.864,19.26,0.23,28.4,628,2.6525002
161.41,0.778,26.24,0.31,29.6,669,6.221
16.03,0.367,7.13,0.48,48.6,1684,12.3125
247.09,0.477,59.18,0.26,28.4,572,11.5825
324.39,0.429,33.62,0.59,38.7,1149,190.012
12.79,0.237,7.27,0.59,44.2,1463,15.362
100.76,0.726,30.2,0.34,34.6,835,10.692
22.27,0.363,13.73,0.46,67.1,2095,37.406
100.1,0.768,18.55,0.31,32.7,786,2.224
246.4,0.431,39.41,0.65,50,1627,175.301
147.85,0.548,36.72,0.51,47.8,1375,45.6445
212,0.348,39.41,0.59,37,1222,74.983
38.48,0.448,16.68,0.36,34.9,895,12.8505
107.29,0.858,35.78,0.33,35.3,821,3.61
128.9,0.591,29.42,0.35,38.6,987,18.651
67.75,0.527,20.76,0.43,40.3,770,17.238
19.09,0.471,8.75,0.34,37,855,13.357
47.49,0.367,14.36,0.47,66.2,1987,69.063
306.06,0.715,35.07,0.24,28.3,559,7.983
71.18,0.406,12.11,0.5,39.9,1192,63.66
114.01,0.885,25.15,0.35,34.9,925,4.643
1483.65,0.6,117.13,0.35,33.6,818,164.116
123.45,0.389,28.03,0.76,47.4,2147,111.347
57.92,0.904,16.92,0.34,40,899,1.873
202.32,0.384,42.95,0.63,40,1366,80.886
786.1,0.436,64.99,0.71,50.3,2023,123.938995
239.07,0.563,31.32,0.43,35.7,853,60.6065
925.03,0.486,77.44,0.62,41.2,1350,317.10498
194.15,0.348,28.33,0.71,57.5,1751,286.77
34.37,0.353,12.4,0.72,43.7,1532,37.765
781.74,0.434,100.03,0.56,39.1,1065,319.8985
126.74,0.825,34.81,0.32,34.6,833,3.51
193.75,0.297,27.85,0.69,33.2,1096,105.035
420.71,0.495,56.02,0.48,45.8,1361,144.926
156.9,0.675,27.31,0.35,39.6,921,28.104
1093,0.45,95.06,0.6,37.5,1165,274.929
661.04,0.342,71.26,0.47,35.8,933,185.524
143.43,0.581,21.83,0.31,28.2,624,8.083
190.8,0.346,32.43,0.62,63.8,1946,218.219
248.51,0.419,45.93,0.62,42.1,1213,140.487
26.53,0.672,8.28,0.44,42.4,1265,2.591
68.85,0.529,25.12,0.3,30.6,639,10.267
326.99,0.502,33.19,0.54,42.3,1306,122.4075
8.45,0.426,5.83,0.38,38.8,1006,4.302
76.17,0.431,28.15,0.62,43.4,1466,78.224
273.84,0.368,37.91,0.56,41.5,1251,137.373
86.29,0.935,21.27,0.34,40.7,922,1.294
112.7,0.422,21.93,0.5,38.5,1144,40.282
429.98,0.366,58.58,0.62,43.7,1385,262.267
797.71,0.433,79.51,0.67,45.2,1461,447.263
242.36,0.283,37.84,0.6,47.8,1532,193.78
136.48,0.959,28.58,0.34,31.7,772,3.08
122.39,0.524,17.61,0.31,31.1,643,7.551
243.84,0.335,49.54,0.59,39.1,849,40.91
124.47,0.554,33.35,0.45,40.7,890,35.577
34.8,0.453,18.45,0.71,61.2,2011,41.879
47.71,0.497,15.44,0.35,35.8,806,12.73
77.76,0.461,29.29,0.31,28.8,570,4.55
404.67,0.588,44.56,0.41,34.8,910,48.44
139.13,0.406,27.75,0.83,63.6,2616,176.9005
38.57,0.59,15.42,0.48,42.2,1325,6.448
65.35,0.322,18.26,0.62,63.5,1981,90.2495
13.37,0.349,9.95,0.49,64.1,2066,21.629
961.4,0.511,84.53,0.46,34.8,928,249.202
142.08,0.5,28.14,0.32,33.2,789,16.8
116.17,0.483,23.42,0.63,56.1,1976,46.587
170.87,0.296,32.6,0.58,43.5,1503,164.224
155.85,0.428,35.13,0.28,26.2,580,11.3975
273.03,0.426,36.95,0.61,37.4,1219,134.8995
201.44,0.502,29.48,0.34,29.6,719,10.914
19.31,0.495,10.04,0.62,68,1974,28.578
36.62,0.293,14.62,0.59,39.8,1126,24.619999
86.81,0.241,24.01,0.62,40.3,1127,73.776
79.62,0.379,14.38,0.78,64,2848,183.936
22.51,0.43,11.18,0.52,35,1043,10.996
6.81,0.59,6.01,0.37,41.8,1210,3.233
324.54,0.392,50.74,0.63,42.3,1507,200.433
56.9,0.549,19.07,0.47,48.1,1428,30.143501
20.16,0.446,8.56,0.5,38.8,1195,18.885
153.94,0.395,23.28,0.72,44.6,1496,54.1245
13.66,0.336,6.69,0.53,61.7,1720,15.25
157.63,0.59,48.2,0.64,32.4,940,31.315
118.07,0.316,23,0.59,41.2,943,48.41
481.29,0.474,60.21,0.26,27.7,583,29.561
78.06,0.575,16.32,0.5,45.4,1342,16.211
228.81,0.528,40.16,0.31,28.8,635,7.979
225.76,0.591,52.04,0.41,35,917,21.8545
138.5,0.399,26.2,0.77,57.2,2207,39.128
540.69,0.451,64.94,0.63,39.9,1108,224.352
153.39,0.564,24.45,0.34,30.3,712,14.5875
22.17,0.392,10.46,0.72,46.2,1699,19.1
327.81,0.949,50.5,0.34,34.8,834,9.363
912.58,0.42,102.47,0.41,41.8,1120,274.979
545.59,0.547,53.12,0.57,52.2,1478,344.946
53.88,0.461,14.1,0.54,43.8,1316,19.135
170.88,0.914,32.06,0.35,35.2,860,7.139
174.54,0.491,41.16,0.62,45.3,1445,92.773
308.72,0.609,40.66,0.4,34.5,800,40.417
140.83,0.44,20.19,0.71,55.4,1630,228.4035
22.91,0.463,13.27,0.45,45,1512,8.133
96.37,0.518,27.54,0.51,35,958,14.189
446.28,0.367,74.61,0.61,43.2,1343,219.07199
361.6,0.79,70.6,0.33,33.7,744,11.3
73.53,0.422,18.71,0.52,37.9,947,14.18
117.54,0.333,23.51,0.83,51,2203,85.372
165.09,0.353,28.16,0.48,38.1,870,67.1785
222.82,0.413,41.22,0.26,28.7,589,16.642
456.97,0.614,52.06,0.42,33.7,830,50.18
46.12,0.412,18.73,0.54,62.9,2153,20.353
11.34,0.411,5.59,0.5,37.7,1188,12.329
261.94,0.615,49.1,0.34,29,693,14.068
183.23,0.496,25.89,0.71,55.7,1787,124.519
298.73,0.5,52.53,0.56,51,1551,177.49051
101.8,0.637,21.02,0.26,28.3,579,4.032
680.84,0.547,57.82,0.35,32.4,824,84.218
1.63,0.196,2.21,0.62,39.2,1096,1.7865
741.79,0.458,78.16,0.6,39.5,1224,196.355
815.36,0.416,118.52,0.41,40.2,1130,203.5645
8.15,0.309,5.22,0.34,37.7,855,4.6099997
186.31,0.44,29.69,0.53,38.7,968,35.263
102.37,0.554,32.97,0.47,53.3,1549,64.659
1064.02,0.664,106.4,0.35,35.5,861,114.852
232.84,0.427,30.34,0.54,44,1130,137.516
7.93,0.403,6.17,0.52,41.6,1346,4.7
440.5,0.355,48.28,0.64,36.3,1367,279.439
145.91,0.452,33.94,0.64,35.9,1048,59.8715
40.83,0.617,10.79,0.45,34.6,1046,14.023
274.99,0.681,34.06,0.31,28.1,620,7.813
48.05,0.325,14.87,0.71,68.9,2507,66.609
18.84,0.341,10.2,0.4,36,987,9.2
167.21,0.522,37.65,0.46,44.3,1435,49.191498
249.75,0.523,38.72,0.47,63.1,1771,234.524
32.47,0.415,10.73,0.71,47.8,1756,22.9025
95.66,0.698,26.71,0.34,29.7,739,5.23
72.57,0.373,18.4,0.52,39.1,1160,43.99
1699.42,0.422,120.26,0.59,36.2,1139,376.597
298.98,0.561,46.75,0.61,36.3,1116,61.718002
304.23,0.454,46.99,0.55,36.3,1225,112.373505
510.17,0.321,55.01,0.6,43.4,1310,259.9165
173.1,0.508,30.43,0.42,32,757,22.653
237.26,0.408,30.65,0.64,66.4,2238,104.6155
72.78,0.448,18.3,0.31,28.1,591,8.753
42.69,0.615,11.99,0.42,39,1148,8.922
345.99,0.395,49.21,0.45,34.3,905,129.6655
50.32,0.44,20.74,0.28,25.6,589,4.938
227.46,0.407,39.92,0.62,58,1890,249.889
120.87,0.289,30.28,0.6,32.8,1090,50.021
985.37,0.404,74.98,0.64,50.5,1521,623.318
72.9,0.363,18.99,0.71,61.5,2147,18.921
495.37,0.405,61.01,0.61,44.6,1423,354.5665
172.96,0.355,19.74,0.57,44.3,1357,82.9615
197.8,0.56,30.52,0.44,42.5,1276,56.04
99.34,0.559,17.89,0.34,32.7,724,15.001
132.65,0.368,22.55,0.3,31.6,661,13.775
113.44,0.592,23.68,0.49,37.2,859,19.113499
166.3,0.495,47.03,0.6,35.5,1332,24.558498
7.98,0.774,6.22,0.4,31.2,722,1.309
59.4,0.88,23.89,0.3,31.6,698,1.718
102.4,0.488,31.08,0.62,39.9,1106,35.726
165.21,0.952,47.3,0.34,32.4,768,2.23
913.2,0.597,94.4,0.56,50.2,1367,400.5975
44.58,0.417,16.23,0.71,68.6,2542,33.308502
146.97,0.399,25.82,0.63,60.6,2025,107.313
15.7,0.586,9.02,0.35,36.6,934,2.645
12.87,0.251,7.84,0.71,61.9,2000,16.3555
698.01,0.517,49.76,0.56,37.7,1140,176.675
598.42,0.423,68.98,0.71,52.9,2129,189.4815
179.98,0.474,27.65,0.42,36.3,900,49.309
202.54,0.593,31.7,0.49,36.1,977,27.319
197.07,0.376,37.67,0.64,44.2,1341,84.27
131.51,0.447,29.33,0.72,38,1437,50.652
243.63,0.4,55.15,0.6,39.1,1368,90.921
105.98,0.43,25.12,0.7,35.5,1292,50.897
40.83,0.671,13.66,0.44,41.6,1206,5.53
282.03,0.347,39.06,0.45,34,794,100.858505
3300.8,0.439,152.06,0.37,36.5,899,318.5
584.7,0.487,55.63,0.63,45.9,1505,203.9845
127.45,0.529,29.45,0.68,43.7,1294,36.936
2276.03,0.489,125.23,0.64,39.9,1182,611.515
203.22,0.382,42.98,0.61,45,1446,118.832
118.86,0.597,37.24,0.29,33.3,730,36.964
64.54,0.403,15.46,0.29,28.3,574,8.856
247.81,0.44,36.16,0.71,67,2172,72.636505
22.44,0.319,8.08,0.7,42,1317,15.2815
216.64,0.577,39.5,0.42,37.5,833,45.461502
468.87,0.386,58.77,0.68,46.3,1485,336.24548
118.62,0.266,16.43,0.64,45,1522,132.02701
24.92,0.497,11.6,0.34,36.5,849,6.6375
185.16,0.454,24.06,0.31,34.7,677,23.213
24.58,0.261,9.44,0.59,49.3,1577,31.368
1371.7,0.509,105.81,0.65,42.8,1273,421.142
229.26,0.434,35.62,0.62,41.9,1397,123.004
78.28,0.42,26.13,0.36,40,912,21.878
202.79,0.549,41,0.4,38.4,971,68.1455
58.78,0.885,21.12,0.36,35.1,810,1.998
129.49,0.497,38.47,0.69,51.6,1753,70.138
518.88,0.442,45.99,0.36,34.6,849,120.528
319.3,0.314,45.96,0.62,39.3,1291,301.3875
233.6,0.623,34.06,0.31,32.2,639,10.415501
62.5,0.528,21.55,0.53,43.1,1171,23.456
131.05,0.536,26.69,0.52,51.9,1603,78.409
56.46,0.554,15.94,0.26,25.5,566,3.83
1626.71,0.686,96.68,0.32,32.3,730,77.624
35.42,0.355,15.71,0.34,37.1,886,13.49
148.45,0.455,34.13,0.44,36.3,1098,58.693
173.32,0.466,51.38,0.61,44.8,1394,119.551
12.06,0.271,8.41,0.61,57.5,2316,16.31
377.97,0.342,48.74,0.62,42.9,1226,231.323
243.04,0.493,41.65,0.57,50.7,1538,122.902
429.2,0.523,46.75,0.56,32.8,1077,131.324
3480.01,0.65,138,0.31,32.3,690,148.0145
15.07,0.525,9.47,0.38,37.8,830,5.2244997
46.42,0.853,18.09,0.31,28.2,645,0.788
333.43,0.359,64.44,0.62,35.1,1073,134.7875
103.14,0.445,24.75,0.61,50.9,1790,34.471
447.94,0.937,52.3,0.35,33.7,830,12.92
84.98,0.403,19.27,0.53,40.9,1016,28.297
64.11,0.843,18.34,0.29,33.3,695,2.482
126.36,0.463,28.3,0.6,32.8,1131,34.3465
18.77,0.448,9.43,0.71,57.9,1897,7.4969997
223.1,0.443,29.82,0.66,45.1,1270,178.001
283.38,0.274,36.36,0.62,39,1230,217.1995
107.23,0.882,24.52,0.38,37.4,969,5.1225
53.17,0.439,15.1,0.59,42.2,1268,23.207
37.38,0.362,13.8,0.79,65.1,2766,59.9645
325.71,0.522,41.23,0.4,34,812,45.9765
195.45,0.562,26.55,0.53,33.5,870,21.744
51.56,0.404,13.29,0.56,64.4,2056,40.380997
331.64,0.359,31.14,0.81,45.4,1896,342.057
136.34,0.442,23.09,0.44,35,976,27.9975
1049.61,0.311,69.1,0.5,34.6,1013,440.64
792.65,0.573,102.52,0.55,34.9,916,112.720505
10.94,0.338,10.72,0.22,31.5,591,2.6455
172.17,0.423,37.71,0.59,52.7,1636,114.795
341.76,0.363,32.35,0.7,63.9,2040,378.99548
11.46,0.227,6.03,0.64,53.1,1904,15.09
88.59,0.4,24.07,0.59,31.4,1003,29.739
1090.83,0.478,89.91,0.59,49.8,1535,378.803
502.24,0.518,57.21,0.35,37.9,814,117.71
173.94,0.391,48.39,0.58,32.7,926,51.665
55.97,0.393,13.52,0.72,48.6,1670,77.673
621.52,0.513,64.6,0.34,29.8,732,46.449997
1594.22,0.608,99.11,0.34,32.2,765,80.4105
184.23,0.482,28.56,0.52,37.6,1152,48.267
79.4,0.481,20.37,0.48,54,1618,45.324997
85.63,0.402,22.77,0.26,27.9,598,8.1345005
123.5,0.761,26.22,0.27,32.7,646,6.552
58.16,0.523,13.64,0.25,27.3,560,4.628
182.48,0.494,29.83,0.35,35.9,835,32.242
92.74,0.403,31.53,0.31,29.9,598,10.6
84.62,0.872,24.12,0.34,31.3,744,5.594
783.72,0.51,71.45,0.59,43.8,1404,250.242
68,0.974,21.79,0.35,32.5,807,3.715
63.78,0.404,18.61,0.3,28.2,588,8.502
232.41,0.443,41.66,0.7,41.2,1347,80.669
75.85,0.952,25.22,0.34,36.6,896,2.889
897.26,0.507,109.03,0.52,44.8,1379,215.506
510.02,0.425,54.43,0.71,54.5,1652,441.99402
579.08,0.33,69.54,0.62,36.2,1212,248.945
778.96,0.439,66.61,0.51,42.3,1339,262.16998
278.05,0.353,36.97,0.34,32.5,691,42.098503
444.8,0.505,54.2,0.53,36.2,988,129.252
50.97,0.455,16.1,0.35,34.2,852,13.606501
1269.46,0.584,127.35,0.52,34.4,884,136.246
38.59,0.421,11.98,0.72,49.9,1740,60.364
2852.4,0.485,162.33,0.63,36.8,1119,472.093
36.7,0.588,12.13,0.38,43.9,1151,6.12
263.63,0.577,30.57,0.46,33.9,909,72.6325
137.79,0.527,23.72,0.37,34,866,36.2005
108.14,0.883,24.19,0.29,32.1,691,1.987
52.44,0.48,19.05,0.35,38.5,857,16.406
103.32,0.596,21.93,0.28,27.3,595,3.659
116.03,0.39,20.64,0.72,46.4,1555,38.503
140.09,0.576,22.82,0.29,29.1,599,8.129
366.25,0.341,46,0.69,50.2,1757,226.806
414.39,0.292,58.38,0.58,33.8,1058,98.094
832.97,0.472,63.01,0.48,38.3,1153,229.1175
1.74,0.603,2.74,0.54,41.6,1207,1.2245
86.01,0.338,22.11,0.71,62.2,2261,117.965
228.88,0.585,30.57,0.4,36,971,71.491
89.03,0.546,27.77,0.45,42.4,1211,11.053
162.76,0.52,22.45,0.43,32.7,724,30.382
94.89,0.944,20.47,0.35,34.9,872,3.421
1124.59,0.612,82.68,0.36,33.4,841,138.789
60.07,0.413,15.99,0.46,36,1020,24.7325
26.83,0.736,11.19,0.44,43.7,1294,3.9580002
759.03,0.386,107.44,0.43,40.7,1163,233.276
1745.88,0.484,102.35,0.69,35.6,1194,223.915
98.37,0.437,21.17,0.61,39.1,1296,37.486
88.18,0.298,22.94,0.59,40.2,1050,80.015
4.32,0.32,3.74,0.27,33.1,641,1.906
205.67,0.775,31.37,0.38,39.8,1010,15.948
8.69,0.323,5.73,0.66,72.9,2483,13.829
365.9,0.61,54.57,0.37,35,877,44.366
57.5,0.419,19.06,0.5,40.2,1164,30.935
23.33,0.669,11.77,0.35,34.2,906,3.361
78.1,0.505,25.04,0.31,31.5,619,6.582
885.11,0.588,90.17,0.35,34.3,813,45.1455
135.29,0.549,35.22,0.48,45.5,1423,48.737
27.58,0.387,9.26,0.27,29.1,588,6.759
100.33,0.404,27.2,0.61,35.4,1270,63.715004
401.59,0.411,41.13,0.75,39.5,1431,101.336
608.13,0.526,77.1,0.46,42.2,1249,169.462
664.23,0.425,74.99,0.49,39.8,1185,230.045
1008.94,0.452,70.89,0.71,36.5,1316,145.5
65.59,0.513,20.68,0.71,50.5,1599,53.748
20.17,0.811,10.07,0.38,39.3,1012,0.406
44.59,0.376,19.89,0.52,35.4,987,16.005
27.18,0.386,9.88,0.66,72.3,2341,50.404
212.19,0.514,33.58,0.71,54.1,1726,148.543
263.01,0.376,42.97,0.59,37.8,1264,163.293
155.39,0.518,37.34,0.41,33.1,774,40.298
687.29,0.565,58.42,0.41,37.5,1114,117.477
60.24,0.568,17.39,0.29,34,686,7.3114996
42.1,0.632,14.72,0.32,33.1,715,9.52
167.21,0.327,38.71,0.67,39.1,1292,100.777
34.76,0.584,15.03,0.53,38.2,1055,9.523
235.9,0.537,46.2,0.25,27.8,566,12.016
126.98,0.402,17.94,0.28,26.7,577,12.4
2645.6,0.484,146.99,0.65,36.6,1133,420.9705
149.89,0.414,36.33,0.5,36.6,1019,49.783
66.84,0.409,23.39,0.68,51,1492,83.631
1894.26,0.472,157.79,0.5,42.4,1230,387.97552
414.4,0.778,54.9,0.37,38.6,968,21.9
105.29,0.491,27.17,0.4,40.5,1040,57.872
77.57,0.865,34.38,0.33,31.8,736,3.4775
288.53,0.498,39.74,0.39,40.1,994,104.8665
335.39,0.504,38.11,0.62,42.2,1558,195.072
474.08,0.338,56.85,0.73,40.4,1383,140.62851
101.64,0.471,17.71,0.53,51.9,1261,64.99451
697.46,0.459,62.86,0.68,39,1231,300.532
387.74,0.48,40.11,0.31,30.4,655,21.8
30.36,0.565,11.52,0.35,33.9,884,13.505
121.64,0.45,29.19,0.49,39,1199,63.4845
95.57,0.305,18.51,0.56,34.2,993,63.975
574.66,0.449,61.86,0.52,42.7,1256,191.494
85.83,0.838,18.26,0.32,31.1,759,3.616
517.56,0.484,76.12,0.54,43.3,1392,135.8425
74.34,0.941,21.67,0.34,37,885,1.314
147.47,0.803,41.66,0.26,29.2,683,3.679
6.52,0.397,4.69,0.83,70.4,2555,6.25
36.97,0.301,16.5,0.44,35.4,1085,26.395
248.21,0.635,34.68,0.31,32.1,637,10.450001
634.78,0.504,77.29,0.46,37.9,827,82.895004
363.76,0.532,52.95,0.51,40.5,1086,85.687
57.67,0.553,21,0.35,37.8,1101,13.053
128.42,0.613,21.41,0.24,28.9,558,5.156
158.22,0.419,26.5,0.62,33.4,1285,66.094
19.39,0.439,12.51,0.56,47.5,1477,10.7745
1459.55,0.894,95.25,0.34,33.4,807,46.46
847.7,0.354,85.6,0.54,39.6,1122,375.695
27.75,0.633,10.61,0.35,36.7,1009,10.268
183.49,0.46,29.02,0.58,32,1143,52.66
216.48,0.553,38.77,0.46,43.3,1420,61.3665
105.31,0.352,14.3,0.85,58.3,2456,198.528
102.89,0.449,22.39,0.63,37,1001,31.67
313.59,0.421,46.35,0.58,32.8,1156,106.918
964.93,0.395,76.19,0.57,31.1,1008,118.6595
109.57,0.354,21.45,0.29,31.5,668,13.349501
219.21,0.438,35.65,0.71,55.1,1670,266.95398
138.63,0.379,29.9,0.75,54.1,2470,80.978
382.69,0.39,48.1,0.35,35,805,76.128
48.51,0.642,15.65,0.44,38.1,1076,4.386
397.92,0.362,49.02,0.74,55.4,2117,309.038
81.6,0.615,27.08,0.41,36.3,968,8.4805
355.07,0.583,40.55,0.41,39.8,956,150.8005
9.85,0.578,4.66,0.42,44.2,1270,4.262
52.85,0.388,21.42,0.31,31,599,11.084
578.21,0.393,82.28,0.44,34.4,850,139.673
199.42,0.757,41.8,0.29,32.6,667,16.6035
33.76,0.437,13.3,0.37,31.5,831,6.109
272.2,0.498,44.15,0.68,33.1,1012,94.4505
510.9,0.386,60.56,0.63,45.3,1338,238.2135
117.12,0.372,27.82,0.59,44.1,1530,90.532
152.4,0.678,26.72,0.52,37.4,1165,16.5275
236.84,0.436,31.8,0.81,43.7,1785,190.699
155.76,0.357,28.83,0.63,45.1,1512,70.779
196.18,0.611,37.33,0.28,28.2,589,5.073
1012.97,0.31,66.25,0.5,34.7,1023,367.601
417.01,0.403,55.23,0.28,30.7,634,38.588
559.72,0.689,79.18,0.3,29.8,672,18.561
50.04,0.931,12.76,0.35,35.1,968,2.8575
183,0.498,31.76,0.61,36.9,1202,85.8535
185.66,0.403,30.64,0.62,41.7,1305,72.44
43.43,0.377,15.9,0.62,51.8,1806,53.942
319.94,0.441,37.07,0.6,33.6,1163,106.756
552.57,0.324,56.43,0.65,33,1117,169.057
118.05,0.656,28.03,0.37,39.5,1056,21.405
11.76,0.597,7.41,0.38,41.4,1030,1.234
20.38,0.539,12.14,0.54,50.9,1485,7.7565002
198.07,0.553,32.69,0.48,50.8,1555,111.322
125.92,0.553,28.39,0.49,37.5,962,26.7795
92.61,0.536,22.2,0.43,34.2,762,17.979
883.12,0.528,87.48,0.42,34.3,936,119.094
203.65,0.562,40.88,0.36,36.2,964,43.723
77.73,0.386,25.81,0.5,37.8,1181,16.774
194.15,0.381,44.61,0.34,33.3,726,43.54
1283.4,0.426,84.45,0.53,44.7,1386,529.327
89.42,0.451,23.5,0.53,60,2038,101.89
148.7,0.538,33.49,0.35,28.8,729,15.362
307.14,0.489,43.22,0.43,34.7,713,57.803
140.38,0.493,40,0.31,28.4,579,13.836
938.48,0.452,85.17,0.61,38.5,1204,247.7385
133.52,0.551,37.06,0.49,38,906,36.8565
188.05,0.654,34.67,0.4,29,739,10.653
117.35,0.422,28.01,0.36,39.4,899,27.434
15.85,0.959,7.33,0.32,33.9,757,0.142
801.65,0.437,66.98,0.3,30.2,648,62.661
139.27,0.436,33.73,0.57,32.7,915,71.038
78.54,0.28,17.99,0.63,39.2,1156,53.15
32.34,0.345,10.6,0.71,70.2,2438,12.811
109.39,0.512,28.24,0.68,43.8,1244,69.8325
149.24,0.404,23.62,0.67,62.8,2150,59.096
322.97,0.27,35.83,0.64,41.4,1331,237.306
1149.07,0.442,89.04,0.7,49.4,1950,354.832
74.13,0.362,17.37,0.59,34.8,895,25.0555
55.72,0.82,13.54,0.29,35.4,698,3.084
455.1,0.338,50.31,0.59,38.2,1034,201.807
134.5,0.443,23,0.36,35,812,27.875
59.98,0.482,14.24,0.72,40.6,1344,26.132
16.05,0.888,8.95,0.36,35.3,819,0.459
148.28,0.508,32.6,0.39,30.5,818,19.550499
62.9,0.696,14.16,0.38,33.3,863,3.601
99.67,0.386,19.83,0.33,36.9,854,21.602001
173.41,0.3,23.41,0.59,42.4,1279,117.7115
1037.36,0.766,90.42,0.31,32.9,758,38.394
63.26,0.494,23.03,0.61,45.5,1299,36.5695
33.97,0.457,12.97,0.64,46.2,1428,34.576
263.74,0.563,40.53,0.36,37.4,965,57.007
326.55,0.903,48.34,0.34,31,744,11.106
1260.92,0.47,88.07,0.7,36.4,1277,165.854
50.13,0.656,14.39,0.27,32.4,641,5.8805
58.81,0.273,13.34,0.59,38.3,1199,64.633
12.06,0.879,6.32,0.38,40.8,1030,0.861
502.73,0.443,54.52,0.67,41.3,1306,241.075
130.45,0.405,26.97,0.34,36.2,814,38.989502
345.2,0.322,48.82,0.47,32.7,941,134.5495
367.59,0.339,52.64,0.6,37.3,1228,200.4925
397.97,0.555,53.62,0.41,35.8,1022,87.253
445.22,0.366,61.92,0.62,43.4,1369,267.21
920.16,0.481,74.06,0.49,40.1,1215,263.276
377.16,0.507,42.63,0.66,39.9,1255,123.485504
407.17,0.453,42.2,0.66,54.5,1768,179.0455
