AREA,BFIHOST,LDP,PROPWET,RMED-1D,SAAR,Index flood,predicted,,m1,m2,m3,m4,m5,m6,b,,RMSE1,RMSE2,,pred avg,ssres,sstot1,R^2,,MSRE1,MSRE2
0.142221515,0.309768638,0.275008264,0.582539683,0.423119777,0.382969432,0.173156953,0.185682566,,,,,,,,,,0.000156891,,,,,9.39134E-05,,,0.004550464,
0.154427371,0.331362468,0.245917355,0.557142857,0.352924791,0.308908297,0.186048611,0.187050195,,,,,,,,,,1.00317E-06,,,,,0.000122291,,,2.8672E-05,
0.102048267,0.257326478,0.125586777,0.442857143,0.701671309,0.626812227,0.117315937,0.143784149,,,,,,,,,,0.000700566,,,,,0.001037325,,,0.033886536,
0.106448377,0.331362468,0.132297521,0.734920635,0.543454039,0.512925764,0.148531687,0.177081225,,,,,,,,,,0.000815076,,,,,1.18712E-06,,,0.025992804,
0.106839187,0.588431877,0.13785124,0.379365079,0.45097493,0.326375546,0.10434208,0.107904739,,,,,,,,,,1.26925E-05,,,,,0.004635831,,,0.001090103,
0.259040769,0.512339332,0.404760331,0.531746032,0.546796657,0.382620087,0.422718958,0.275334455,,,,,,,,,,0.021722192,,,,,0.009868988,,,0.286538193,
0.268066054,0.304627249,0.344561983,0.544444444,0.333983287,0.25720524,0.195510847,0.284832412,,,,,,,,,,0.007978342,,,,,0.011846306,,,0.098340821,
0.120803692,0.19562982,0.192793388,0.582539683,0.352924791,0.285851528,0.140196473,0.172200623,,,,,,,,,,0.001024266,,,,,1.43721E-05,,,0.034541655,
0.18869833,0.335475578,0.272628099,0.722222222,0.594707521,0.482183406,0.456079573,0.253215701,,,,,,,,,,0.04115375,,,,,0.005963551,,,0.641842031,
0.199976011,0.360154242,0.297190083,0.480952381,0.463231198,0.343842795,0.254206692,0.221048969,,,,,,,,,,0.001099435,,,,,0.00203016,,,0.022500512,
0.111513214,0.608997429,0.179239669,0.328571429,0.364066852,0.196419214,0.111495874,0.102786588,,,,,,,,,,7.58517E-05,,,,,0.005358984,,,0.007179467,
0.10781447,0.775578406,0.152495868,0.214285714,0.301671309,0.130393013,0.100520598,0.067968356,,,,,,,,,,0.001059648,,,,,0.011669037,,,0.22937617,
