NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
22, 5, 243000, 252000, 0.0100854, 0.0274785, 34.098, 0.0277543, 34.4403, 0.924155, 0.0152978
23, 5, 257000, 266000, 0.01019, 0.0277579, 34.4448, 0.0281978, 34.9906, 0.922267, 0.025333
24, 6, 225000, 234000, 0.0145, 0.0277582, 34.4452, 0.0279557, 34.6903, 0.923689, 0.0170147
25, 6, 337000, 355000, 0.0182634, 0.0272469, 33.8107, 0.0273017, 33.8787, 0.927928, 0.0223683
26, 6, 454000, 474000, 0.0241504, 0.0262855, 32.6177, 0.0265846, 32.9888, 0.930485, 0.0156973
27, 6, 254000, 263000, 0.0109359, 0.0269573, 33.4513, 0.0270696, 33.5906, 0.927919, 0.0151616
28, 6, 282000, 292000, 0.0115291, 0.0270334, 33.5457, 0.0272339, 33.7946, 0.927217, 0.0156164
29, 6, 457000, 472000, 0.013942, 0.026069, 32.3491, 0.0264899, 32.8713, 0.931837, 0.0166725
30, 7, 89000, 99000, 0.098626, 0.0277175, 34.3947, 0.0270571, 33.5752, 0.928339, 0.0153087
31, 7, 340000, 356000, 0.0297356, 0.0246281, 30.561, 0.0249087, 30.9092, 0.940028, 0.0134924
32, 7, 752000, 760000, 0.01, 0.0259787, 32.237, 0.0262445, 32.5668, 0.933793, 0.0144133
33, 7, 164000, 173000, 0.0122782, 0.027582, 34.2265, 0.0277968, 34.493, 0.92434, 0.0174247
34, 7, 289000, 299000, 0.0100392, 0.0255309, 31.6813, 0.0256453, 31.8232, 0.935405, 0.0141585
35, 7, 272000, 281000, 0.0100067, 0.0257869, 31.9989, 0.0261004, 32.3879, 0.934179, 0.0134407
36, 8, 435000, 456000, 0.0113053, 0.0248631, 30.8526, 0.0250666, 31.1051, 0.938463, 0.0133227
37, 8, 569000, 588000, 0.0195756, 0.0243691, 30.2396, 0.0245172, 30.4234, 0.941539, 0.0133424
38, 8, 741000, 773000, 0.0161397, 0.0232089, 28.7999, 0.0233018, 28.9152, 0.947454, 0.0123504
39, 8, 378000, 391000, 0.0130324, 0.0240889, 29.892, 0.0243592, 30.2274, 0.9423, 0.013518
40, 8, 437000, 454000, 0.0163197, 0.0251429, 31.1998, 0.0253371, 31.4408, 0.937015, 0.015297
41, 8, 406000, 424000, 0.0264914, 0.0222604, 27.6229, 0.0223073, 27.6811, 0.952194, 0.0124067
42, 9, 262000, 272000, 0.0203153, 0.024548, 30.4616, 0.0248405, 30.8246, 0.939871, 0.0135238
43, 9, 1033000, 1040000, 0.01, 0.0245033, 30.4062, 0.0246337, 30.5679, 0.941526, 0.0125352
44, 9, 1243000, 1250000, 0.01, 0.0251781, 31.2435, 0.0253124, 31.4102, 0.937971, 0.0148699
45, 9, 201000, 209000, 0.0106584, 0.0241077, 29.9153, 0.0243695, 30.2401, 0.942216, 0.0129463
46, 9, 400000, 415000, 0.011718, 0.0253099, 31.407, 0.0254572, 31.5899, 0.93703, 0.0131366
47, 9, 573000, 596000, 0.0307485, 0.0234026, 29.0403, 0.0235289, 29.197, 0.946453, 0.0123046
48, 10, 336000, 346000, 0.0111189, 0.0242568, 30.1003, 0.0245252, 30.4333, 0.941558, 0.0130069
49, 10, 411000, 424000, 0.0160686, 0.0228845, 28.3973, 0.0229877, 28.5255, 0.94912, 0.0126515
50, 10, 597000, 612000, 0.0111172, 0.0224068, 27.8046, 0.0225916, 28.0339, 0.950874, 0.0119727
51, 10, 398000, 414000, 0.082137, 0.0220121, 27.3148, 0.0223548, 27.74, 0.951715, 0.0115502
52, 10, 439000, 453000, 0.0292748, 0.0228847, 28.3976, 0.0229696, 28.503, 0.949274, 0.0120459
53, 10, 464000, 478000, 0.0104099, 0.0242165, 30.0503, 0.0244341, 30.3203, 0.942154, 0.0136223
