epoch, rmse, rmse-dn
104000, 0.0274774, 34.0967
105000, 0.0274748, 34.0935
106000, 0.0274726, 34.0907
107000, 0.0274704, 34.088
108000, 0.0274682, 34.0853
109000, 0.0274659, 34.0824
110000, 0.0274639, 34.08
111000, 0.0274621, 34.0777
112000, 0.0274603, 34.0755
113000, 0.0274582, 34.0729
114000, 0.0274564, 34.0706
115000, 0.0274547, 34.0686
116000, 0.0274531, 34.0665
117000, 0.027451, 34.064
118000, 0.0274494, 34.0619
119000, 0.0274476, 34.0597
120000, 0.0274459, 34.0576
121000, 0.0274442, 34.0555
122000, 0.0274423, 34.0532
123000, 0.0274408, 34.0513
124000, 0.027439, 34.0491
125000, 0.0274377, 34.0474
126000, 0.0274359, 34.0451
127000, 0.0274336, 34.0424
128000, 0.0274318, 34.0402
129000, 0.0274298, 34.0376
130000, 0.0274287, 34.0363
131000, 0.0274281, 34.0355
132000, 0.0274268, 34.034
133000, 0.0274253, 34.0321
134000, 0.027424, 34.0304
135000, 0.0274225, 34.0285
136000, 0.0274208, 34.0265
137000, 0.0274188, 34.024
138000, 0.0274168, 34.0215
139000, 0.0274154, 34.0198
140000, 0.0274143, 34.0184
141000, 0.027413, 34.0168
142000, 0.0274115, 34.0149
143000, 0.0274103, 34.0135
144000, 0.0274088, 34.0116
145000, 0.0274073, 34.0097
146000, 0.0274055, 34.0075
147000, 0.0274043, 34.0059
148000, 0.0274026, 34.0038
149000, 0.0274014, 34.0023
150000, 0.0273996, 34.0002
151000, 0.0273977, 33.9978
152000, 0.0273962, 33.9959
153000, 0.0273946, 33.994
154000, 0.0273934, 33.9925
155000, 0.0273921, 33.9909
156000, 0.0273904, 33.9888
157000, 0.0273883, 33.9861
158000, 0.0273867, 33.9841
159000, 0.0273856, 33.9827
160000, 0.0273841, 33.981
161000, 0.0273826, 33.9791
162000, 0.0273812, 33.9773
163000, 0.0273798, 33.9756
164000, 0.0273785, 33.974
165000, 0.0273772, 33.9723
166000, 0.0273758, 33.9706
167000, 0.0273741, 33.9686
168000, 0.0273731, 33.9673
169000, 0.0273717, 33.9656
170000, 0.0273707, 33.9643
171000, 0.0273692, 33.9624
172000, 0.0273674, 33.9602
173000, 0.0273657, 33.9581
174000, 0.027364, 33.956
175000, 0.0273625, 33.9541
176000, 0.0273614, 33.9527
177000, 0.02736, 33.951
178000, 0.0273585, 33.9492
179000, 0.027357, 33.9473
180000, 0.027355, 33.9448
181000, 0.0273532, 33.9426
182000, 0.0273514, 33.9404
183000, 0.0273491, 33.9375
184000, 0.0273471, 33.935
185000, 0.0273449, 33.9323
186000, 0.0273432, 33.9302
187000, 0.0273412, 33.9277
188000, 0.0273394, 33.9255
189000, 0.0273382, 33.924
190000, 0.0273365, 33.9218
191000, 0.0273342, 33.919
192000, 0.0273321, 33.9165
193000, 0.0273302, 33.9141
194000, 0.0273286, 33.912
195000, 0.0273265, 33.9094
196000, 0.0273248, 33.9073
197000, 0.027324, 33.9063
198000, 0.0273229, 33.9049
199000, 0.0273214, 33.9031
200000, 0.0273201, 33.9015
201000, 0.0273182, 33.8992
202000, 0.0273163, 33.8968
203000, 0.0273145, 33.8945
204000, 0.0273121, 33.8916
205000, 0.0273104, 33.8895
206000, 0.0273082, 33.8868
207000, 0.0273057, 33.8837
208000, 0.0273036, 33.881
209000, 0.0273019, 33.8789
210000, 0.0273002, 33.8768
211000, 0.0272973, 33.8733
212000, 0.0272946, 33.8699
213000, 0.0272922, 33.8669
